name,drugbank_id,mechanics,diagnosis
milnacipran,DB04896,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'NMDA receptor inhibitor']",depression
venlafaxine,DB00285,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor']",depression
amineptine,DB04836,[],depression
bupropion,DB01156,"['Sodium-dependent dopamine transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'Neuronal acetylcholine receptor subunit alpha-3 antagonist', '5-hydroxytryptamine receptor 3A negative modulator']",depression
methylphenidate,DB00422,"['Sodium-dependent dopamine transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor']",depression
nomifensine,DB04821,[],depression
Aripiprazole,DB01238,"['5-hydroxytryptamine receptor 1A partial agonist', 'Dopamine D2 receptor antagonist', '5-hydroxytryptamine receptor 2A antagonist', 'Alpha-1A adrenergic receptor antagonist', 'Alpha-1B adrenergic receptor antagonist', 'Dopamine D3 receptor antagonist', '5-hydroxytryptamine receptor 1D antagonist', '5-hydroxytryptamine receptor 7 antagonist', 'Alpha-2A adrenergic receptor antagonist', 'Alpha-2C adrenergic receptor antagonist', 'Histamine H1 receptor antagonist', '5-hydroxytryptamine receptor 1B antagonist', '5-hydroxytryptamine receptor 2C antagonist', '5-hydroxytryptamine receptor 3A antagonist', '5-hydroxytryptamine receptor 6 antagonist', 'Dopamine D1 receptor antagonist', 'Dopamine D4 receptor antagonist', 'Alpha-2B adrenergic receptor antagonist', '5-hydroxytryptamine receptor 1E antagonist', 'Dopamine D5 receptor antagonist', '5-hydroxytryptamine receptor 2B inverse agonist', '5-hydroxytryptamine receptor 5A ligand', 'Beta-1 adrenergic receptor ligand', 'Beta-2 adrenergic receptor ligand', 'Histamine H2 receptor ligand', 'Histamine H3 receptor ligand', 'Histamine H4 receptor ligand', 'Muscarinic acetylcholine receptor M1 ligand', 'Muscarinic acetylcholine receptor M2 ligand', 'Muscarinic acetylcholine receptor M3 ligand', 'Muscarinic acetylcholine receptor M4 ligand', 'Muscarinic acetylcholine receptor M5 ligand', 'Kappa-type opioid receptor ligand', 'Mu-type opioid receptor ligand', 'Delta-type opioid receptor ligand', 'Glutamate (NMDA) receptor ligand', 'Sodium-dependent dopamine transporter modulator', 'Sodium-dependent serotonin transporter modulator']",schizophrenia
Clozapine,DB00363,"['Dopamine D2 receptor antagonist', '5-hydroxytryptamine receptor 2A antagonist', 'Dopamine D1 receptor antagonist', 'Dopamine D3 receptor antagonist', 'Dopamine D4 receptor antagonist', '5-hydroxytryptamine receptor 1A antagonist', '5-hydroxytryptamine receptor 1B antagonist', '5-hydroxytryptamine receptor 1D antagonist', '5-hydroxytryptamine receptor 1E antagonist', '5-hydroxytryptamine receptor 3A antagonist', '5-hydroxytryptamine receptor 2C antagonist', '5-hydroxytryptamine receptor 6 antagonist', '5-hydroxytryptamine receptor 7 antagonist', 'Histamine H1 receptor antagonist', 'Histamine H4 receptor antagonist', 'Alpha-1A adrenergic receptor antagonist', 'Alpha-1B adrenergic receptor antagonist', 'Alpha-2A adrenergic receptor antagonist', 'Alpha-2B adrenergic receptor antagonist', 'Alpha-2C adrenergic receptor antagonist', 'Muscarinic acetylcholine receptor M1 antagonist', 'Muscarinic acetylcholine receptor M2 antagonist', 'Muscarinic acetylcholine receptor M3 antagonist', 'Muscarinic acetylcholine receptor M4 antagonist', 'Muscarinic acetylcholine receptor M5 antagonist', 'Neuron-specific vesicular protein calcyon unknown']",schizophrenia
Olanzapine,DB00334,"['5-hydroxytryptamine receptor 2A antagonist', 'Dopamine D2 receptor antagonist', 'Dopamine D1 receptor antagonist', 'Dopamine D5 receptor antagonist', 'Dopamine D3 receptor antagonist', 'Dopamine D4 receptor antagonist', '5-hydroxytryptamine receptor 2C antagonist', '5-hydroxytryptamine receptor 3A antagonist', '5-hydroxytryptamine receptor 6 antagonist', 'Histamine H1 receptor antagonist', 'Alpha-1A adrenergic receptor antagonist', 'Alpha-1B adrenergic receptor antagonist', 'Muscarinic acetylcholine receptor M1 antagonist', 'Muscarinic acetylcholine receptor M2 antagonist', 'Muscarinic acetylcholine receptor M3 antagonist', 'Muscarinic acetylcholine receptor M4 antagonist', 'D(1) dopamine receptor antagonist', 'Beta adrenergic receptor inhibitor', '5-hydroxytryptamine receptor 1 inhibitor', 'GABA-A receptor (benzodiazepine site) inhibitor']",schizophrenia
Paliperidone,DB01267,"['5-hydroxytryptamine receptor 2A antagonist', 'Dopamine D2 receptor antagonist', 'Histamine H1 receptor antagonist', 'Alpha-1A adrenergic receptor antagonist', 'Alpha-1B adrenergic receptor antagonist', 'Dopamine D4 receptor antagonist', '5-hydroxytryptamine receptor 1D antagonist', 'Dopamine D3 receptor antagonist', '5-hydroxytryptamine receptor 2C antagonist', 'Alpha-2A adrenergic receptor antagonist', 'Alpha-2B adrenergic receptor antagonist', 'Alpha-2C adrenergic receptor agonist', '5-hydroxytryptamine receptor 1A antagonist', 'Dopamine D1 receptor antagonist']",schizophrenia
Perospirone,,[],schizophrenia
Risperidone,DB00734,"['5-hydroxytryptamine receptor 2A antagonist', 'Dopamine D2 receptor antagonist', 'Alpha-1A adrenergic receptor antagonist', 'Dopamine D3 receptor antagonist', 'Dopamine D4 receptor antagonist', 'Alpha-1B adrenergic receptor antagonist', '5-hydroxytryptamine receptor 1D antagonist', 'Histamine H1 receptor antagonist', 'Alpha-2A adrenergic receptor antagonist', 'Alpha-2B adrenergic receptor antagonist', 'Alpha-2C adrenergic receptor agonist', '5-hydroxytryptamine receptor 2C antagonist', '5-hydroxytryptamine receptor 1A antagonist', 'Dopamine D1 receptor antagonist']",schizophrenia
Cariprazine,DB06016,"['Dopamine D3 receptor agonist', 'Dopamine D2 receptor agonist', '5-hydroxytryptamine receptor 1A agonist', '5-hydroxytryptamine receptor 2B antagonist', '5-hydroxytryptamine receptor 2A antagonist', 'Histamine H1 receptor antagonist']",schizophrenia
Quetiapine,DB01224,"['5-hydroxytryptamine receptor 2A antagonist', 'Dopamine D2 receptor antagonist', '5-hydroxytryptamine receptor 1A antagonist', '5-hydroxytryptamine receptor 1B ligand', '5-hydroxytryptamine receptor 1D ligand', '5-hydroxytryptamine receptor 1E ligand', '5-hydroxytryptamine receptor 2C ligand', '5-hydroxytryptamine receptor 3A ligand', '5-hydroxytryptamine receptor 6 antagonist', '5-hydroxytryptamine receptor 7 ligand', 'Dopamine D1 receptor antagonist', 'Dopamine D5 receptor ligand', 'Dopamine D3 receptor ligand', 'Dopamine D4 receptor ligand', 'Histamine H1 receptor antagonist', 'Alpha-1 adrenergic receptors antagonist', 'Alpha-2A adrenergic receptor antagonist', 'Alpha-2B adrenergic receptor antagonist', 'Alpha-2C adrenergic receptor antagonist', 'Muscarinic acetylcholine receptor M1 antagonist', 'Muscarinic acetylcholine receptor M2 ligand', 'Muscarinic acetylcholine receptor M3 antagonist', 'Muscarinic acetylcholine receptor M4 ligand', 'Muscarinic acetylcholine receptor M5 ligand']",schizophrenia
Zotepine,DB09225,"['D(1) dopamine receptor antagonist', 'Dopamine D2 receptor antagonist', '5-hydroxytryptamine receptor 2A antagonist', '5-hydroxytryptamine receptor 6 antagonist', '5-hydroxytryptamine receptor 7 antagonist', 'Sodium-dependent noradrenaline transporter antagonist', 'Sodium-dependent serotonin transporter antagonist']",schizophrenia
