name,drugbank_id,mechanics,description,diagnosis
venlafaxine,DB00285,"['Sodium-dependent serotonin transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'Sodium-dependent dopamine transporter inhibitor']","Venlafaxine (Effexor) is an antidepressant within the serotonin-norepinephrine reuptake inhibitor (SNRI) class of medications. It exerts its effects primarily by blocking the transporters involved in the reuptake of the neurotransmitters serotonin and norepinephrine, therefore leaving more active neurotransmitter in the synapse. Venlafaxine is officially approved for use in the management of major depressive disorder (MDD), generalized anxiety disorder (GAD), social anxiety disorder, and panic disorder. As of 2014, Canadian clinical practice guidelines recommend venlafaxine as a first-line option for treatment of generalized anxiety, social anxiety, panic disorder, major depressive disorder (MDD), and consider it a second-line option for management of obsessive-compulsive disorder (OCD) 9,12. Venlafaxine is also used off-label for prophylaxis of migraine headaches 10, for reduction of vasomotor symptoms associated with menopause 13, and for management of neuropathic pain (although there is only minimal evidence of efficacy for this condition) 11.
",depression
amineptine,DB04836,[],"The Food and Drug Administration suspended the marketing authorisation for Survector in 1999 and France withdrew it from the market, however several developing countries continued to produce it up until 2005.
",depression
bupropion,DB01156,"['Sodium-dependent dopamine transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor', 'Neuronal acetylcholine receptor subunit alpha-3 antagonist', '5-hydroxytryptamine receptor 3A negative modulator']","Bupropion (also known as the brand name product Wellbutrin®) is a norepinephrine/dopamine-reuptake inhibitor (NDRI) used most commonly for the management of Major Depressive Disorder (MDD), Seasonal Affective Disorder (SAD), and as an aid for smoking cessation. Bupropion exerts its pharmacological effects by weakly inhibiting the enzymes involved in the uptake of the neurotransmitters norepinephrine and dopamine from the synaptic cleft, therefore prolonging their duration of action within the neuronal synapse and the downstream effects of these neurotransmitters. More specifically, bupropion binds to the norepinephrine transporter (NET) and the dopamine transporter (DAT).8,12
Bupropion was originally classified as an ""atypical"" antidepressant because it does not exert the same effects as the classical antidepressants such as Monoamine Oxidase Inhibitors (MAOIs), Tricyclic Antidepressants (TCAs), or Selective Serotonin Reuptake Inhibitors (SSRIs). While it has comparable effectiveness to typical first-line options for the treatment of depression such as SSRIs,9,10 bupropion is a unique option for the treatment of MDD as it lacks any clinically relevant serotonergic effects, typical of other mood medications, or any effects on histamine or adrenaline receptors.8 Lack of activity at these receptors results in a more tolerable side effect profile; bupropion is less likely to cause sexual side effects, sedation, or weight gain as compared to SSRIs or TCAs, for example.10,11
When used as an aid to smoking cessation, bupropion is thought to confer its anti-craving and anti-withdrawal effects by inhibiting dopamine reuptake, which is thought to be involved in the reward pathways associated with nicotine, and through the antagonism of the nicotinic acetylcholinergic receptor.15,1,14 A Cochrane Review of meta-analyses of available treatment modalities for smoking cessation found that abstinence rates approximately doubled when bupropion was used as compared to placebo, and was found to have similar rates of smoking cessation as nicotine replacement therapy (NRT).13
Bupropion is sometimes used as an add-on agent to first-line treatments of depression such as selective serotonin reuptake inhibitor (SSRI) medications when there is a treatment-failure or only partial response.7 Bupropion is also used off-label for the management of Attention/Deficit-Hyperactivity Disorder (ADHD) in adults with comorbid bipolar depression to avoid mood destabilization caused by typical stimulant medications used for the treatment of ADHD.27
When used in combination with naltrexone in the marketed product ContraveⓇ for chronic weight management, the two components are thought to have effects on areas of the brain involved in the regulation of food intake. This includes the hypothalamus, which is involved in appetite regulation, and the mesolimbic dopamine circuit, which is involved in reward pathways.24 Studies have shown that the combined activity of bupropion and naltrexone increase the firing rate of hypothalamic pro-opiomelanocortin (POMC) neurons and blockade of opioid receptor-mediated POMC auto-inhibition, which are associated with a reduction in food intake and increased energy expenditure.24,20,22 The combination of naltrexone and bupropion was shown to result in a statistically significant weight loss, with a mean change in body weight of -6.3% compared to -1.3% for placebo.21
",depression
methylphenidate,DB00422,"['Sodium-dependent dopamine transporter inhibitor', 'Sodium-dependent noradrenaline transporter inhibitor']","Methylphenidate is a central nervous system stimulant used most commonly in the treatment of Attention-Deficit/Hyperactivity Disorder (ADHD) and for narcolepsy. Also known as the marketed products Ritalin, Concerta, or Biphentin, methylphenidate is used with other treatment modalities (psychological, educational, cognitive behaviour therapy, etc) to improve the following group of developmentally inappropriate symptoms associated with ADHD: moderate-to-severe distractibility, short attention span, hyperactivity, emotional lability, and impulsivity. Long-acting formulations of psychostimulants such as methylphenidate, Dextroamphetamine, and Lisdexamfetamine are considered the most effective and widely used treatment for ADHD, and are considered first-line options for children, adolescents, and adults as recommended by CADDRA (Canadian ADHD Resource Alliance). 12 CADDRA recommends the use of methylphenidate due to long term studies, of over twenty years in duration, which show methylphenidate is safe and effective. 
While its exact mechanism is unclear, methylphenidate (MPH) has been shown to act as a norepinephrine and dopamine reuptake inhibitor (NDRI), thereby increasing the presence of these neurotransmitters in the extraneuronal space and prolonging their action.6 There is a dose-related effect of psychostimulants on receptor stimulation, where higher doses are shown to increase norepinephrine (NE) and dopamine (DA) efflux throughout the brain which can result in impaired cognition and locomotor-activating effects. In contrast, low doses are found to selectively activate NE and DA neurotransmission within the prefrontal cortex which is an area of the brain thought to play a prominent role in ADHD pathophysiology, thereby improving clinical efficacy and preventing side effects.8 The lower doses used to treat ADHD are not associated with the locomotor-activating effects associated with higher doses and instead reduce movement, impulsivity, and increase cognitive function including sustained attention and working memory.6,7 Methylphenidate's beneficial effects in sustaining attention have also been shown to be mediated by alpha-1 adrenergic receptor activity.9 Clinical findings have shown that children with ADHD have an abnormality in the dopamine transporter gene (DAT1), the D4 receptor gene (DRD-4), and/or the D2 receptor gene that may be at least partly overcome by the dopaminergic effects of methylphenidate, suggesting a possible mode of action.15
When provided as Biphentin®, methylphenidate is released through a multi-layer release delivery system (MLRTM) where 40% of the dose is provided as an immediate release and 60% is provided through a gradual release. Biphentin was designed to be an alternative to separate doses of immediate-release (IR) methylphenidate by providing a biphasic concentration-time profile when given as a single dose. The MLRTM release system allows for a sustained effect for 10-12 hours, allowing for once-daily dosing that covers the major times that ADHD impairment might occur (such as school, homework periods, during the work day, etc).
When provided as Concerta®, methylphenidate is released through the patented Osmotic Controlled-Release Oral Delivery (OROS) system where 22% of the dose is provided as an immediate release and 78% is provided through a gradual release.1 OROS is comprised of an osmotically active trilayer core surrounded by a semipermeable membrane with an immediate-release drug overcoat. Within an aqueous environment, such as the stomach, the drug overcoat, which consists of 22% of the dose, dissolves within one hour, providing an initial immediate-release formulation of methylphenidate. Water then permeates through the membrane into the tablet core where the osmotically active polymer excipients expand, allowing methylphenidate to release slowly through the orifice over a period of 6-7 hours. Concerta also provides a sustained 10-12 hour effect, allowing for once-daily dosing.
Methylphenidate contains a blackbox warning stating that CNS stimulants, including methylphenidate-containing products and amphetamines, have a high potential for abuse and dependence. This abuse potential is likely related to the effects associated with higher doses of methylphenidate, which induce surface expression of the dopamine transporter (DAT).10 In particular, increased dopamine in key brain areas is associated with the reinforcing and addictive properties of psychostimulants such as methylphenidate, and even amplifies the potency and reinforcing effects of other drugs of abuse such as amphetamines, making ADHD sufferers more susceptible to their addictive effects.11 Concerns about abuse potential have spurred research into medications with fewer effects on DAT and the use of non-stimulant ADHD medications including Atomoxetine and Guanfacine.
",depression
nomifensine,DB04821,[],"Nomifensine, formerly marketed as Merital capsules, was associated with an increased incidence of hemolytic anemia. The approved application holder removed Merital capsules from the market on January 23, 1986. FDA published a notice of its determination that Merital capsules were removed from the market for safety reasons (see the Federal Register of June 17, 1986 (51 FR 21981)). Approval of the NDA for Merital capsules was withdrawn on March 20, 1992 (see the Federal Register of March 20, 1992 (57 FR 9729)). Also withdrawn from the Canadian and UK markets.
",depression
aripiprazole,DB01238,"['5-hydroxytryptamine receptor 1A partial agonist', 'Dopamine D2 receptor antagonist', '5-hydroxytryptamine receptor 2A antagonist', 'Alpha-1A adrenergic receptor antagonist', 'Alpha-1B adrenergic receptor antagonist', 'Dopamine D3 receptor antagonist', '5-hydroxytryptamine receptor 1D antagonist', '5-hydroxytryptamine receptor 7 antagonist', 'Alpha-2A adrenergic receptor antagonist', 'Alpha-2C adrenergic receptor antagonist', 'Histamine H1 receptor antagonist', '5-hydroxytryptamine receptor 1B antagonist', '5-hydroxytryptamine receptor 2C antagonist', '5-hydroxytryptamine receptor 3A antagonist', '5-hydroxytryptamine receptor 6 antagonist', 'Dopamine D1 receptor antagonist', 'Dopamine D4 receptor antagonist', 'Alpha-2B adrenergic receptor antagonist', '5-hydroxytryptamine receptor 1E antagonist', 'Dopamine D5 receptor antagonist', '5-hydroxytryptamine receptor 2B inverse agonist', '5-hydroxytryptamine receptor 5A ligand', 'Beta-1 adrenergic receptor ligand', 'Beta-2 adrenergic receptor ligand', 'Histamine H2 receptor ligand', 'Histamine H3 receptor ligand', 'Histamine H4 receptor ligand', 'Muscarinic acetylcholine receptor M1 ligand', 'Muscarinic acetylcholine receptor M2 ligand', 'Muscarinic acetylcholine receptor M3 ligand', 'Muscarinic acetylcholine receptor M4 ligand', 'Muscarinic acetylcholine receptor M5 ligand', 'Kappa-type opioid receptor ligand', 'Mu-type opioid receptor ligand', 'Delta-type opioid receptor ligand', 'Glutamate (NMDA) receptor ligand', 'Sodium-dependent dopamine transporter modulator', 'Sodium-dependent serotonin transporter modulator']","Aripiprazole is an atypical antipsychotic orally indicated for treatment of schizophrenia, bipolar I, major depressive disorder, irritability associated with autism, and Tourette'sLabel. It is also indicated as an injection for agitation associated with schizophrenia or bipolar maniaLabel. Aripiprazole exerts its effects through agonism of dopaminic and 5-HT1A receptors and antagonism of alpha adrenergic and 5-HT2A receptorsLabel,1. Aripiprazole was given FDA approval on November 15, 20025.
",schizophrenia
clozapine,DB00363,"['Dopamine D2 receptor antagonist', '5-hydroxytryptamine receptor 2A antagonist', 'Dopamine D1 receptor antagonist', 'Dopamine D3 receptor antagonist', 'Dopamine D4 receptor antagonist', '5-hydroxytryptamine receptor 1A antagonist', '5-hydroxytryptamine receptor 1B antagonist', '5-hydroxytryptamine receptor 1D antagonist', '5-hydroxytryptamine receptor 1E antagonist', '5-hydroxytryptamine receptor 3A antagonist', '5-hydroxytryptamine receptor 2C antagonist', '5-hydroxytryptamine receptor 6 antagonist', '5-hydroxytryptamine receptor 7 antagonist', 'Histamine H1 receptor antagonist', 'Histamine H4 receptor antagonist', 'Alpha-1A adrenergic receptor antagonist', 'Alpha-1B adrenergic receptor antagonist', 'Alpha-2A adrenergic receptor antagonist', 'Alpha-2B adrenergic receptor antagonist', 'Alpha-2C adrenergic receptor antagonist', 'Muscarinic acetylcholine receptor M1 antagonist', 'Muscarinic acetylcholine receptor M2 antagonist', 'Muscarinic acetylcholine receptor M3 antagonist', 'Muscarinic acetylcholine receptor M4 antagonist', 'Muscarinic acetylcholine receptor M5 antagonist', 'Neuron-specific vesicular protein calcyon unknown']","A tricyclic dibenzodiazepine, classified as an atypical antipsychotic agent. It binds several types of central nervous system receptors, and displays a unique pharmacological profile. Clozapine is a serotonin antagonist, with strong binding to 5-HT 2A/2C receptor subtype. It also displays strong affinity to several dopaminergic receptors, but shows only weak antagonism at the dopamine D2 receptor, a receptor commonly thought to modulate neuroleptic activity. Agranulocytosis is a major adverse effect associated with administration of this agent.
",schizophrenia
olanzapine,DB00334,"['5-hydroxytryptamine receptor 2A antagonist', 'Dopamine D2 receptor antagonist', 'Dopamine D1 receptor antagonist', 'Dopamine D5 receptor antagonist', 'Dopamine D3 receptor antagonist', 'Dopamine D4 receptor antagonist', '5-hydroxytryptamine receptor 2C antagonist', '5-hydroxytryptamine receptor 3A antagonist', '5-hydroxytryptamine receptor 6 antagonist', 'Histamine H1 receptor antagonist', 'Alpha-1A adrenergic receptor antagonist', 'Alpha-1B adrenergic receptor antagonist', 'Muscarinic acetylcholine receptor M1 antagonist', 'Muscarinic acetylcholine receptor M2 antagonist', 'Muscarinic acetylcholine receptor M3 antagonist', 'Muscarinic acetylcholine receptor M4 antagonist', 'D(1) dopamine receptor antagonist', 'Beta adrenergic receptor inhibitor', '5-hydroxytryptamine receptor 1 inhibitor', 'GABA-A receptor (benzodiazepine site) inhibitor']","Olanzapine is a thienobenzodiazepine classified as an atypical or second-generation antipsychotic agent.2 The second-generation antipsychotics were introduced in the 90s and quickly widespread due to the presumed higher efficacy, less extrapyramidal side effects and fewer drug-drug interactions.5 Olanzapine presents a very close resemblance to clozapine and it only differs by two additional methyl groups and the absence of a chloride moiety.10 It was obtained by the research of Eli Lilly and approved to be marketed in the US in 1996.8
",schizophrenia
paliperidone,DB01267,"['5-hydroxytryptamine receptor 2A antagonist', 'Dopamine D2 receptor antagonist', 'Histamine H1 receptor antagonist', 'Alpha-1A adrenergic receptor antagonist', 'Alpha-1B adrenergic receptor antagonist', 'Dopamine D4 receptor antagonist', '5-hydroxytryptamine receptor 1D antagonist', 'Dopamine D3 receptor antagonist', '5-hydroxytryptamine receptor 2C antagonist', 'Alpha-2A adrenergic receptor antagonist', 'Alpha-2B adrenergic receptor antagonist', 'Alpha-2C adrenergic receptor agonist', '5-hydroxytryptamine receptor 1A antagonist', 'Dopamine D1 receptor antagonist']","Paliperidone is the primary active metabolite of risperidone. The mechanism of action is unknown but it is likely to act via a similar pathway to risperidone. It has been proposed that the drug's therapeutic activity in schizophrenia is mediated through a combination of central dopamine Type 2 (D2) and serotonin Type 2 (5HT2A) receptor antagonism. Paliperidone is also active as an antagonist at alpha 1 and alpha 2 adrenergic receptors and H1 histaminergic receptors, which may explain some of the other effects of the drug. Paliperidone was approved by the FDA for treatment of schizophrenia on December 20, 2006.
",schizophrenia
perospirone,,[],,schizophrenia
risperidone,DB00734,"['5-hydroxytryptamine receptor 2A antagonist', 'Dopamine D2 receptor antagonist', 'Alpha-1A adrenergic receptor antagonist', 'Dopamine D3 receptor antagonist', 'Dopamine D4 receptor antagonist', 'Alpha-1B adrenergic receptor antagonist', '5-hydroxytryptamine receptor 1D antagonist', 'Histamine H1 receptor antagonist', 'Alpha-2A adrenergic receptor antagonist', 'Alpha-2B adrenergic receptor antagonist', 'Alpha-2C adrenergic receptor agonist', '5-hydroxytryptamine receptor 2C antagonist', '5-hydroxytryptamine receptor 1A antagonist', 'Dopamine D1 receptor antagonist']","Risperidone is a second-generation antipsychotic (SGA) medication used in the treatment of a number of mood and mental health conditions including schizophrenia, bipolar mania, and as an adjunct in severe depression for example. It is one of the most widely used SGAs. 
Schizophrenia and various mood disorders are thought to be caused by an excess of dopaminergic D2 and serotonergic 5-HT2A activity, resulting in overactivity of central mesolimbic pathways and mesocortical pathways, respectively.12 Risperidone is thought to reduce this overactivity through inhibition of dopaminergic D2 receptors and serotonergic 5-HT2A receptors in the brain.12,3.
Risperidone binds with a very high affinity to 5-HT2A receptors, approximately 10-20 fold greater than the drug's binding affinity to D2 receptors.12,3
",schizophrenia
cariprazine,DB06016,"['Dopamine D3 receptor agonist', 'Dopamine D2 receptor agonist', '5-hydroxytryptamine receptor 1A agonist', '5-hydroxytryptamine receptor 2B antagonist', '5-hydroxytryptamine receptor 2A antagonist', 'Histamine H1 receptor antagonist']","Cariprazine is an antipsychotic drug developed by Gedeon Richter and marketed by Actavis under the trade name Vraylar. Cariprazine acts as a D2 and D3 receptor partial agonist, with high selectivity towards the D3 receptor. This mechanism is relatively unique, since many other antipsychotics are D2 and 5-HT2A agonists. Cariprazine was approved by the FDA in September 2015 and is indicated in the treatment of schizophrenia and bipolar disorder. Action on the dopaminergic systems makes it also potentially useful as an add-on therapy in major depressive disorder.
",schizophrenia
quetiapine,DB01224,"['5-hydroxytryptamine receptor 2A antagonist', 'Dopamine D2 receptor antagonist', '5-hydroxytryptamine receptor 1A antagonist', '5-hydroxytryptamine receptor 1B ligand', '5-hydroxytryptamine receptor 1D ligand', '5-hydroxytryptamine receptor 1E ligand', '5-hydroxytryptamine receptor 2C ligand', '5-hydroxytryptamine receptor 3A ligand', '5-hydroxytryptamine receptor 6 antagonist', '5-hydroxytryptamine receptor 7 ligand', 'Dopamine D1 receptor antagonist', 'Dopamine D5 receptor ligand', 'Dopamine D3 receptor ligand', 'Dopamine D4 receptor ligand', 'Histamine H1 receptor antagonist', 'Alpha-1 adrenergic receptors antagonist', 'Alpha-2A adrenergic receptor antagonist', 'Alpha-2B adrenergic receptor antagonist', 'Alpha-2C adrenergic receptor antagonist', 'Muscarinic acetylcholine receptor M1 antagonist', 'Muscarinic acetylcholine receptor M2 ligand', 'Muscarinic acetylcholine receptor M3 antagonist', 'Muscarinic acetylcholine receptor M4 ligand', 'Muscarinic acetylcholine receptor M5 ligand']","Initially approved by the FDA in 1997, quetiapine is a second-generation atypical antipsychotic used in schizophrenia, major depression, and bipolar disorder.19 Quetiapine demonstrates a high level of therapeutic efficacy and low risk of adverse effects during long-term treatment. It is well-tolerated and a suitable option for some patients with high sensitivity to other drugs, such as Clozapine and Olanzapine.1
",schizophrenia
zotepine,DB09225,"['D(1) dopamine receptor antagonist', 'Dopamine D2 receptor antagonist', '5-hydroxytryptamine receptor 2A antagonist', '5-hydroxytryptamine receptor 6 antagonist', '5-hydroxytryptamine receptor 7 antagonist', 'Sodium-dependent noradrenaline transporter antagonist', 'Sodium-dependent serotonin transporter antagonist']","Zotepine, with the formula (2-chloro-11-(2-dimethyl-amino-ethoxy)-dibenzo thiepin, is a neuroleptic drug. It was designed and synthesized by Fujisawa Pharmaceutical Co Ltd.1 It has been used as an antipsychotic in Japan, India and some places in Europe like UK and Germany since 1980's.2 Zotepine was never approved by the FDA. In 1993, it was classified as inactive drug substance (Status I, Type II) and in 1995 the FDA studied the manufacturing procedures of Zotepine tablets in Germany, but the status remained inactive.9 When the analysis of antipsychotics was retaken in 2016 by the FDA, zotepine did not reach the threshold effect to be further studied.10. In the EMA, by 2015 it was under pharmacovigilance studies for the potential treatment of acute renal failure.11
",schizophrenia
